CAF	Central African Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	744.723	2004
CAF	Central African Republic	Total investment	Percent of GDP		14.275	2010
CAF	Central African Republic	Gross national savings	Percent of GDP		4.079	2010
CAF	Central African Republic	General government gross debt	Percent of GDP		39.8	2011
TCD	Chad	Gross domestic product per capita, current prices	U.S. dollars	Units	836.93	2004
TCD	Chad	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1841.12	2004
TCD	Chad	Total investment	Percent of GDP		42.416	2010
TCD	Chad	Gross national savings	Percent of GDP		38.905	2010
TCD	Chad	General government gross debt	Percent of GDP		25.785	2010
CHL	Chile	Gross domestic product per capita, current prices	U.S. dollars	Units	12640.29	2009
CHL	Chile	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	16192.75	2009
CHL	Chile	Total investment	Percent of GDP		23.549	2011
CHL	Chile	Gross national savings	Percent of GDP		25.04	2011
CHL	Chile	General government gross debt	Percent of GDP		8.648	2011
CHN	China	Gross domestic product per capita, current prices	U.S. dollars	Units	4422.66	2011
CHN	China	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	7553.38	2011
CHN	China	Total investment	Percent of GDP		48.219	2011
CHN	China	Gross national savings	Percent of GDP		52.225	2011
CHN	China	General government gross debt	Percent of GDP		33.538	2011
COL	Colombia	Gross domestic product per capita, current prices	U.S. dollars	Units	6259.46	2009
COL	Colombia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	9585.3	2009
COL	Colombia	Total investment	Percent of GDP		22.047	2009
COL	Colombia	Gross national savings	Percent of GDP		18.973	2009
COL	Colombia	General government gross debt	Percent of GDP		36.358	2009
COM	Comoros	Gross domestic product per capita, current prices	U.S. dollars	Units	817.608	2003
COM	Comoros	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1204.44	2003
COM	Comoros	Total investment	Percent of GDP		15.405	2010
COM	Comoros	Gross national savings	Percent of GDP		8.412	2010
COM	Comoros	General government gross debt	Percent of GDP		49.202	2010
COD	Democratic Republic of the Congo	Gross domestic product per capita, current prices	U.S. dollars	Units	186.263	1983
COD	Democratic Republic of the Congo	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	328.865	1983
COD	Democratic Republic of the Congo	Total investment	Percent of GDP		23.519	2011
COD	Democratic Republic of the Congo	Gross national savings	Percent of GDP		15.437	2011
COD	Democratic Republic of the Congo	General government gross debt	Percent of GDP		35.143	2011
COG	Republic of Congo	Gross domestic product per capita, current prices	U.S. dollars	Units	3112.87	2004
COG	Republic of Congo	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	4426.16	2004
COG	Republic of Congo	Total investment	Percent of GDP		20.473	2009
COG	Republic of Congo	Gross national savings	Percent of GDP		25.531	2009
COG	Republic of Congo	General government gross debt	Percent of GDP		23.865	2010
CRI	Costa Rica	Gross domestic product per capita, current prices	U.S. dollars	Units	7938.81	2010
CRI	Costa Rica	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	11336.5	2010
CRI	Costa Rica	Total investment	Percent of GDP		20.093	2010
CRI	Costa Rica	Gross national savings	Percent of GDP		16.556	2010
CRI	Costa Rica	General government gross debt	Percent of GDP		29.207	2010
CIV	Cﾙte d'Ivoire	Gross domestic product per capita, current prices	U.S. dollars	Units	1042.55	2009
CIV	Cﾙte d'Ivoire	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	1682.9	2009
